institution,institution_type,ministry,institution_size,recruitment_volume,avg_salary,executive_salary,region,hiring_rate,salary_gap_ratio,synthetic_employee_count,avg_quit_probability,avg_expected_total_tenure,high_risk_employee_ratio,avg_burnout_risk_score,high_burnout_employee_ratio,avg_vacation_usage_rate,avg_overtime_hours,salary_percentile,hiring_rate_percentile,quit_risk_percentile,org_health_score,org_health_level,hiring_competitiveness_score,hiring_competitiveness_level,risk_signal_summary,flex_time_ratio,remote_ratio,compress_ratio
88관광개발(주),기타공공기관,국가보훈부,42.0,2.0,69409.0,146943.0,경기도,0.0476190476190476,2.1170597472950194,30,0.43666666666666665,10.666666666666666,0.3333333333333333,27.7,0.1,0.7056666666666668,9.166666666666666,0.5102040816326531,0.532069970845481,0.8002915451895044,44.6,medium,32.2,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9096,0.0712,0.0191
KDI국제정책대학원,기타공공기관,국무조정실,163.0,5.0,106224.0,,세종특별자치시,0.0306748466257668,,30,0.30866666666666664,11.333333333333334,0.03333333333333333,25.866666666666667,0.0,0.685,9.966666666666667,0.9766763848396501,0.27113702623906705,0.033527696793002916,79.9,high,60.0,medium,전반적으로 안정,0.9179,0.062,0.0201
가축위생방역지원본부,기타공공기관,농림축산식품부,1287.0,1.0,68498.0,132955.0,세종특별자치시,0.0007770007770007,1.9410055768051624,38,0.3686842105263158,10.973684210526315,0.13157894736842105,37.86842105263158,0.23684210526315788,0.6447368421052632,14.736842105263158,0.46938775510204084,0.03498542274052478,0.6822157434402333,59.4,medium,36.5,low,채용경쟁력 낮음,0.9025,0.064,0.0336
강릉원주대학교치과병원,기타공공기관,교육부,207.0,39.0,46490.0,99373.0,강원도,0.1884057971014492,2.1375134437513443,30,0.3396666666666667,10.933333333333334,0.06666666666666667,25.1,0.1,0.6859999999999999,9.633333333333333,0.02040816326530612,0.9883381924198251,0.36005830903790087,65.5,medium,41.4,medium,채용경쟁력 낮음,0.9232,0.0569,0.0198
강원대학교병원,기타공공기관,교육부,1905.0,114.0,59253.0,129554.0,강원도,0.0598425196850393,2.186454694277083,57,0.3498245614035088,11.228070175438596,0.12280701754385964,31.263157894736842,0.10526315789473684,0.6543859649122806,12.68421052631579,0.22157434402332363,0.6909620991253644,0.5306122448979592,63.0,medium,39.3,low,채용경쟁력 낮음,0.9045,0.0711,0.0243
건강보험심사평가원,준정부기관(위탁집행형),보건복지부,3957.0,171.75,71130.0,182799.0,강원도,0.0434040940106141,2.569928300295234,118,0.316271186440678,11.694915254237289,0.0423728813559322,26.991525423728813,0.07627118644067797,0.7005084745762712,11.728813559322035,0.5364431486880467,0.48104956268221577,0.07580174927113703,76.9,high,48.3,medium,전반적으로 안정,0.8868,0.089,0.0241
건설근로자공제회,기타공공기관,고용노동부,222.5,6.0,86484.0,200660.0,서울특별시,0.0269662921348314,2.320197955691226,30,0.4983333333333333,9.733333333333333,0.4,43.7,0.3,0.6066666666666667,15.1,0.8134110787172012,0.2303206997084548,0.9970845481049563,25.5,low,27.5,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9051,0.0784,0.0166
건축공간연구원,기타공공기관,국무조정실,111.0,1.0,72924.0,165535.0,세종특별자치시,0.009009009009009,2.2699659919916626,30,0.33433333333333337,10.8,0.03333333333333333,29.466666666666665,0.06666666666666667,0.6653333333333333,12.066666666666666,0.5714285714285714,0.06705539358600583,0.26239067055393583,70.4,high,40.7,medium,채용경쟁력 낮음,0.9098,0.0687,0.0215
게임물관리위원회,기타공공기관,문화체육관광부,101.0,2.0,58729.0,129249.0,부산광역시,0.0198019801980198,2.200769636806348,30,0.4936666666666667,9.866666666666667,0.4666666666666667,34.7,0.1,0.6276666666666666,13.233333333333333,0.20699708454810495,0.14868804664723032,0.9941690962099126,21.7,low,17.3,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9215,0.0564,0.0221
경북대학교병원,기타공공기관,교육부,5539.0,343.0,76361.0,135927.0,대구광역시,0.0619245351146416,1.780057882950721,166,0.343855421686747,10.94578313253012,0.08433734939759036,32.01204819277108,0.12048192771084337,0.6668072289156627,12.174698795180722,0.6588921282798834,0.7230320699708455,0.41690962099125367,68.9,medium,45.2,medium,전반적으로 안정,0.8836,0.0826,0.0338
경북대학교치과병원,기타공공기관,교육부,220.0,38.0,65600.0,122319.0,대구광역시,0.1727272727272727,1.8646189024390245,30,0.447,10.533333333333333,0.4,27.0,0.1,0.715,10.466666666666667,0.3965014577259475,0.9825072886297376,0.858600583090379,39.5,low,36.6,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9191,0.0547,0.0262
경상국립대학교병원,기타공공기관,교육부,4116.0,207.0,64525.0,152737.0,경상남도,0.0502915451895043,2.367098024021697,123,0.4407317073170732,11.146341463414634,0.3170731707317073,27.24390243902439,0.08130081300813008,0.6904065040650407,10.910569105691057,0.36151603498542273,0.5743440233236151,0.8221574344023324,45.3,medium,32.6,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 채용경쟁력 낮음,0.8936,0.0787,0.0277
경제인문사회연구회,기타공공기관,국무조정실,96.0,2.0,63741.0,216018.0,세종특별자치시,0.0208333333333333,3.3889960935661505,30,0.3393333333333333,11.266666666666667,0.1,26.566666666666666,0.13333333333333333,0.732,11.466666666666667,0.3294460641399417,0.16909620991253643,0.35276967930029157,65.5,medium,39.9,low,채용경쟁력 낮음,0.9195,0.0586,0.0218
공간정보품질관리원,기타공공기관,국토교통부,83.0,2.0,62099.0,154150.0,서울특별시,0.0240963855421686,2.4823266075138086,30,0.33166666666666667,11.433333333333334,0.06666666666666667,32.56666666666667,0.1,0.6816666666666666,10.666666666666666,0.30029154518950435,0.19825072886297376,0.22157434402332363,68.3,medium,40.9,medium,채용경쟁력 낮음,0.9065,0.0736,0.0198
공무원연금공단,준정부기관(기금관리형),인사혁신처,693.0,64.0,73388.0,167526.0,제주특별자치도,0.0923520923520923,2.282743772823895,30,0.34833333333333333,10.933333333333334,0.03333333333333333,27.266666666666666,0.03333333333333333,0.7376666666666666,11.833333333333334,0.5860058309037901,0.8658892128279884,0.5087463556851312,70.3,high,45.4,medium,전반적으로 안정,0.8891,0.0832,0.0278
과학기술사업화진흥원,기타공공기관,과학기술정보통신부,52.0,5.0,68322.0,181502.0,서울특별시,0.0961538461538461,2.656567430695823,30,0.38866666666666666,9.766666666666667,0.13333333333333333,41.53333333333333,0.2,0.6103333333333333,13.9,0.46355685131195334,0.8862973760932945,0.7448979591836735,47.4,medium,34.2,low,퇴사위험 상위권 | 채용경쟁력 낮음,0.9101,0.0728,0.0171
과학기술정책연구원,기타공공기관,국무조정실,162.0,6.0,73726.0,154938.0,세종특별자치시,0.037037037037037,2.101538127661883,30,0.3303333333333333,10.3,0.1,29.433333333333334,0.13333333333333333,0.6596666666666666,11.366666666666667,0.597667638483965,0.3629737609329446,0.19533527696793002,66.3,medium,40.5,medium,채용경쟁력 낮음,0.9094,0.0667,0.0239
국가과학기술인력개발원,기타공공기관,과학기술정보통신부,121.0,7.0,74562.0,,충청북도,0.0578512396694214,,30,0.373,10.2,0.1,29.133333333333333,0.06666666666666667,0.6766666666666666,11.166666666666666,0.6122448979591837,0.6705539358600583,0.6953352769679301,58.0,medium,37.9,low,채용경쟁력 낮음,0.917,0.0626,0.0204
국가생명윤리정책원,기타공공기관,보건복지부,77.0,11.0,52628.0,156460.0,서울특별시,0.1428571428571428,2.9729421600668844,30,0.3313333333333333,12.533333333333333,0.06666666666666667,30.966666666666665,0.13333333333333333,0.7076666666666667,11.433333333333334,0.07580174927113703,0.9708454810495627,0.21282798833819241,71.2,high,50.1,medium,전반적으로 안정,0.9141,0.0715,0.0144
국가수리과학연구소,기타공공기관,과학기술정보통신부,61.0,1.0,80712.0,,대전광역시,0.0163934426229508,,30,0.4026666666666667,12.2,0.2,24.933333333333334,0.06666666666666667,0.7100000000000001,10.1,0.7288629737609329,0.11078717201166181,0.7551020408163265,63.2,medium,45.6,medium,퇴사위험 상위권,0.9059,0.0691,0.0251
국가유산진흥원,기타공공기관,국가유산청,395.0,8.0,60571.0,152090.0,서울특별시,0.020253164556962,2.5109375773885194,30,0.36466666666666664,11.566666666666666,0.23333333333333334,39.56666666666667,0.3,0.643,12.1,0.25072886297376096,0.16326530612244897,0.6559766763848397,54.6,medium,38.0,low,채용경쟁력 낮음,0.8873,0.0866,0.026
국가철도공단,준정부기관(위탁집행형),국토교통부,2210.0,155.0,77036.0,160006.0,대전광역시,0.0701357466063348,2.0770289215431745,66,0.46454545454545454,10.212121212121213,0.3333333333333333,35.515151515151516,0.19696969696969696,0.6312121212121212,12.484848484848484,0.6705539358600583,0.7871720116618076,0.9387755102040817,37.4,low,31.8,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.8821,0.0898,0.0281
국가평생교육진흥원,기타공공기관,교육부,174.0,1.0,75373.0,207581.0,서울특별시,0.0057471264367816,2.7540498587027185,30,0.45,10.333333333333334,0.3333333333333333,33.266666666666666,0.1,0.6666666666666666,11.466666666666667,0.6268221574344023,0.04956268221574344,0.8746355685131195,38.7,low,29.1,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.8926,0.0868,0.0206
국립공원공단,준정부기관(위탁집행형),기후에너지환경부,2651.0,119.0,61473.0,186139.0,강원도,0.0448887212372689,3.027979763473395,79,0.3360759493670886,11.050632911392405,0.05063291139240506,29.873417721518987,0.0759493670886076,0.6839240506329114,11.886075949367088,0.27696793002915454,0.49854227405247814,0.3032069970845481,65.9,medium,39.6,low,채용경쟁력 낮음,0.8835,0.0798,0.0367
국립광주과학관,기타공공기관,과학기술정보통신부,143.0,1.0,61856.0,139826.0,광주광역시,0.0069930069930069,2.260508277289188,30,0.443,11.666666666666666,0.36666666666666664,33.03333333333333,0.16666666666666666,0.6363333333333333,13.733333333333333,0.2886297376093295,0.05830903790087463,0.8425655976676385,43.0,medium,31.4,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9306,0.0439,0.0255
국립낙동강생물자원관,기타공공기관,기후에너지환경부,214.0,6.0,67795.0,186198.0,경상북도,0.02803738317757,2.7464857290360647,30,0.373,9.933333333333334,0.13333333333333333,33.233333333333334,0.13333333333333333,0.6663333333333333,12.5,0.446064139941691,0.239067055393586,0.6953352769679301,53.1,medium,32.1,low,채용경쟁력 낮음,0.9205,0.0574,0.0221
국립대구과학관,기타공공기관,과학기술정보통신부,153.0,3.0,64690.0,139826.0,대구광역시,0.0196078431372549,2.161477817282424,30,0.31533333333333335,11.7,0.0,24.466666666666665,0.0,0.7196666666666667,9.666666666666666,0.37026239067055394,0.14285714285714285,0.06559766763848396,79.1,high,44.5,medium,채용경쟁력 낮음,0.9255,0.0575,0.017
국립박물관문화재단,기타공공기관,문화체육관광부,80.0,2.0,59968.0,167774.0,서울특별시,0.025,2.7977254535752403,30,0.331,10.633333333333333,0.06666666666666667,33.8,0.13333333333333333,0.6616666666666667,11.833333333333334,0.239067055393586,0.20699708454810495,0.20699708454810495,62.4,medium,36.1,low,채용경쟁력 낮음,0.905,0.0759,0.0191
국립부산과학관,기타공공기관,과학기술정보통신부,145.0,2.0,65471.0,142826.0,부산광역시,0.0137931034482758,2.181515480136244,30,0.32599999999999996,10.9,0.0,31.633333333333333,0.06666666666666667,0.6796666666666666,11.0,0.39067055393586003,0.09037900874635568,0.1661807580174927,71.0,high,39.4,low,채용경쟁력 낮음,0.9142,0.0644,0.0214
국립생태원,준정부기관(위탁집행형),기후에너지환경부,623.0,5.0,71174.0,167764.0,충청남도,0.0080256821829855,2.357096692612471,30,0.317,12.0,0.06666666666666667,32.36666666666667,0.1,0.6473333333333334,12.833333333333334,0.5393586005830904,0.0641399416909621,0.08454810495626822,75.9,high,47.7,medium,전반적으로 안정,0.9025,0.074,0.0235
국립아시아문화전당재단,기타공공기관,문화체육관광부,156.0,5.0,63893.0,122917.0,광주광역시,0.032051282051282,1.923794468877655,30,0.35366666666666663,11.533333333333333,0.1,33.0,0.1,0.6646666666666667,11.366666666666667,0.33819241982507287,0.2915451895043732,0.5597667638483965,66.1,medium,40.7,medium,채용경쟁력 낮음,0.9144,0.0616,0.024
국립암센터,기타공공기관,보건복지부,2209.1,201.0,80995.0,430302.0,경기도,0.0909872798877371,5.312698314710785,66,0.42454545454545456,11.681818181818182,0.24242424242424243,31.454545454545453,0.13636363636363635,0.6828787878787879,10.424242424242424,0.7405247813411079,0.8629737609329446,0.7667638483965015,48.6,medium,45.6,medium,퇴사위험 상위권,0.8701,0.1024,0.0275
국립울진해양과학관,기타공공기관,해양수산부,43.0,4.0,60347.0,153395.0,경상북도,0.0930232558139534,2.5418827779342803,30,0.359,10.133333333333333,0.06666666666666667,31.7,0.1,0.6993333333333334,11.833333333333334,0.24489795918367346,0.8702623906705539,0.6034985422740525,57.7,medium,35.3,low,채용경쟁력 낮음,0.9166,0.0575,0.0259
국립중앙의료원,기타공공기관,보건복지부,1814.0,87.0,74058.0,266468.0,서울특별시,0.047960308710033,3.5980987874368737,54,0.3264814814814815,10.814814814814815,0.05555555555555555,32.351851851851855,0.12962962962962962,0.6903703703703704,11.5,0.6064139941690962,0.5364431486880467,0.16909620991253643,66.8,medium,44.3,medium,채용경쟁력 낮음,0.8885,0.0915,0.02
국립항공박물관,기타공공기관,국토교통부,83.0,9.0,67391.0,141061.0,서울특별시,0.108433734939759,2.093172678844356,30,0.4596666666666666,10.0,0.3,33.6,0.13333333333333333,0.6673333333333333,11.533333333333333,0.4314868804664723,0.9125364431486881,0.922740524781341,36.6,low,29.6,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9114,0.075,0.0136
국립해양박물관,기타공공기관,해양수산부,63.0,3.0,64045.0,167364.0,부산광역시,0.0476190476190476,2.613225076118354,30,0.45366666666666666,10.266666666666667,0.3333333333333333,33.43333333333333,0.1,0.6763333333333333,12.566666666666666,0.34110787172011664,0.532069970845481,0.8965014577259475,35.3,low,26.6,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9177,0.0585,0.0238
국립해양생물자원관,기타공공기관,해양수산부,223.0,7.0,78810.0,187332.0,충청남도,0.0313901345291479,2.377007993909402,30,0.456,11.033333333333333,0.36666666666666664,32.8,0.13333333333333333,0.6146666666666667,12.166666666666666,0.7113702623906706,0.27405247813411077,0.9067055393586005,42.1,medium,35.1,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9147,0.065,0.0203
국립호남권생물자원관,기타공공기관,기후에너지환경부,185.0,0.0,64416.0,167569.0,전라남도,0.0,2.601356805762544,30,0.471,10.733333333333333,0.4,34.166666666666664,0.1,0.6316666666666666,14.0,0.358600583090379,0.016034985422740525,0.9620991253644315,32.7,low,24.8,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.9283,0.0499,0.0217
국민건강보험공단,준정부기관(위탁집행형),보건복지부,16156.0,915.0,68926.0,143493.0,강원도,0.0566353057687546,2.0818413951194032,484,0.45198347107438014,10.741735537190083,0.3677685950413223,29.801652892561982,0.11776859504132231,0.6726652892561983,11.863636363636363,0.49271137026239065,0.6530612244897959,0.8833819241982507,40.7,medium,31.6,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.8821,0.0833,0.0346
국민건강보험공단 일산병원,준정부기관(위탁집행형),보건복지부,2638.5,186.0,77544.0,,경기도,0.0704945992040932,,79,0.44417721518987335,10.759493670886076,0.25316455696202533,30.772151898734176,0.06329113924050633,0.699746835443038,11.012658227848101,0.6880466472303207,0.793002915451895,0.8483965014577259,45.6,medium,36.6,low,퇴사위험 상위권 | 고위험 직원 비율 높음 | 채용경쟁력 낮음,0.8666,0.1072,0.0262
국민연금공단,준정부기관(기금관리형),보건복지부,7430.0,251.0,73077.0,233419.0,전라북도,0.0337819650067294,3.1941513745775003,222,0.331036036036036,11.518018018018019,0.08108108108108109,28.346846846846848,0.10810810810810811,0.6812162162162162,11.675675675675675,0.5743440233236151,0.31486880466472306,0.2099125364431487,70.9,high,46.3,medium,전반적으로 안정,0.862,0.1024,0.0355
국방과학연구소,기타공공기관,방위사업청,3435.0,176.0,108374.0,204450.0,대전광역시,0.0512372634643377,1.886522597671028,103,0.4740776699029126,10.087378640776699,0.4854368932038835,34.922330097087375,0.1553398058252427,0.6658252427184466,13.25242718446602,0.9825072886297376,0.597667638483965,0.9737609329446064,33.0,low,41.4,medium,퇴사위험 상위권 | 고위험 직원 비율 높음 | 조직건강도 주의,0.8829,0.0863,0.0308
국방기술진흥연구소,기타공공기관,방위사업청,367.0,12.0,91717.0,,경상남도,0.0326975476839237,,30,0.3236666666666667,12.133333333333333,0.06666666666666667,25.9,0.06666666666666667,0.7100000000000001,9.633333333333333,0.8833819241982507,0.30029154518950435,0.13848396501457727,79.7,high,57.3,medium,전반적으로 안정,0.9087,0.0654,0.0259
국방기술품질원,기타공공기관,방위사업청,684.0,13.0,91567.0,192738.0,경상남도,0.0190058479532163,2.104884947633973,30,0.36633333333333334,10.066666666666666,0.16666666666666666,34.6,0.2,0.6456666666666667,14.5,0.8775510204081632,0.13702623906705538,0.6647230320699709,58.5,medium,42.1,medium,채용경쟁력 낮음,0.8913,0.0753,0.0334
국방전직교육원,기타공공기관,국방부,42.0,1.0,49661.0,97479.0,경기도,0.0238095238095238,1.962888383238356,30,0.31966666666666665,11.9,0.03333333333333333,31.8,0.06666666666666667,0.6906666666666667,10.366666666666667,0.04956268221574344,0.19387755102040816,0.1151603498542274,72.6,high,39.5,low,채용경쟁력 낮음,0.9051,0.076,0.0189
국악방송,기타공공기관,문화체육관광부,76.0,5.0,58519.0,109133.0,서울특별시,0.0657894736842105,1.8649156684153865,30,0.3186666666666667,11.833333333333334,0.1,34.333333333333336,0.16666666666666666,0.6806666666666668,11.466666666666667,0.20116618075801748,0.7551020408163265,0.09766763848396501,70.4,high,45.2,medium,전반적으로 안정,0.9087,0.0768,0.0145
국제방송교류재단,기타공공기관,문화체육관광부,227.0,9.0,62762.0,135445.0,서울특별시,0.039647577092511,2.1580733564895955,30,0.3576666666666667,9.466666666666667,0.06666666666666667,30.266666666666666,0.13333333333333333,0.67,10.5,0.3119533527696793,0.4139941690962099,0.5830903790087464,56.5,medium,29.7,low,채용경쟁력 낮음,0.897,0.0827,0.0203
국제식물검역인증원,기타공공기관,농림축산식품부,56.0,7.0,53894.0,202704.0,부산광역시,0.125,3.761160797120273,30,0.33666666666666667,10.6,0.13333333333333333,30.3,0.13333333333333333,0.6703333333333333,11.433333333333334,0.10495626822157435,0.9446064139941691,0.32215743440233235,56.5,medium,39.1,low,채용경쟁력 낮음,0.9188,0.061,0.0203
국토교통과학기술진흥원,기타공공기관,국토교통부,153.0,1.0,87557.0,207480.0,경기도,0.0065359477124183,2.3696563381568576,30,0.3456666666666667,11.5,0.03333333333333333,40.43333333333333,0.16666666666666666,0.6293333333333333,13.8,0.8309037900874635,0.05539358600583091,0.45043731778425655,70.8,high,49.0,medium,전반적으로 안정,0.8962,0.092,0.0118
국토안전관리원,준정부기관(위탁집행형),국토교통부,1094.7,82.0,69205.0,137201.0,경상남도,0.0749063670411985,1.9825301640054909,32,0.42531250000000004,11.1875,0.21875,29.3125,0.0625,0.6865625,12.25,0.5014577259475219,0.8104956268221575,0.7725947521865889,53.1,medium,37.4,low,퇴사위험 상위권 | 채용경쟁력 낮음,0.8935,0.0729,0.0336
국토연구원,기타공공기관,국무조정실,283.0,11.0,86543.0,160000.0,세종특별자치시,0.03886925795053,1.8487919300232252,30,0.33999999999999997,10.766666666666667,0.0,30.9,0.06666666666666667,0.6756666666666666,13.1,0.8192419825072886,0.40524781341107874,0.36443148688046645,73.8,high,47.2,medium,전반적으로 안정,0.9207,0.06,0.0193
그랜드코리아레저(주),공기업(준시장형),문화체육관광부,1771.0,45.0,72697.0,149232.0,서울특별시,0.0254093732354601,2.0527944757005105,53,0.33754716981132077,10.09433962264151,0.1320754716981132,34.18867924528302,0.18867924528301888,0.670566037735849,11.773584905660377,0.565597667638484,0.21574344023323616,0.3323615160349854,61.0,medium,37.7,low,채용경쟁력 낮음,0.883,0.0985,0.0185
극지연구소,기타공공기관,해양수산부,294.0,4.0,84139.0,,인천광역시,0.0136054421768707,,30,0.33066666666666666,11.233333333333333,0.06666666666666667,25.433333333333334,0.03333333333333333,0.744,7.633333333333334,0.7813411078717201,0.08746355685131195,0.19825072886297376,73.3,high,48.0,medium,전반적으로 안정,0.9065,0.0772,0.0162
근로복지공단,준정부기관(기금관리형),고용노동부,10158.63,459.5,64992.0,158139.0,울산광역시,0.045232477213955,2.433207163958641,304,0.33391447368421057,11.276315789473685,0.08552631578947369,29.68421052631579,0.08552631578947369,0.6820065789473685,11.305921052631579,0.3760932944606414,0.5014577259475219,0.2536443148688047,68.4,medium,42.3,medium,채용경쟁력 낮음,0.8819,0.0797,0.0384
기술보증기금,준정부기관(기금관리형),중소벤처기업부,1586.0,91.0,96353.0,265699.0,부산광역시,0.0573770491803278,2.757558145568898,47,0.35893617021276597,10.553191489361701,0.10638297872340426,30.4468085106383,0.0851063829787234,0.6834042553191488,12.48936170212766,0.924198250728863,0.6647230320699709,0.6005830903790087,65.0,medium,49.4,medium,전반적으로 안정,0.8969,0.0734,0.0296
기초과학연구원,기타공공기관,과학기술정보통신부,443.0,17.0,84524.0,265278.0,대전광역시,0.0383747178329571,3.138493209029388,30,0.3173333333333333,12.4,0.1,33.766666666666666,0.13333333333333333,0.6906666666666667,13.166666666666666,0.7842565597667639,0.3935860058309038,0.08746355685131195,76.6,high,56.8,medium,전반적으로 안정,0.9039,0.0711,0.025
노사발전재단,기타공공기관,고용노동부,300.0,7.0,50957.0,168031.0,서울특별시,0.0233333333333333,3.2975057401338383,30,0.335,11.133333333333333,0.13333333333333333,32.43333333333333,0.16666666666666666,0.7243333333333334,9.9,0.05830903790087463,0.18950437317784258,0.2755102040816326,59.3,medium,34.7,low,채용경쟁력 낮음,0.9046,0.0811,0.0143
